cod_ibge,ano_referencia,populacao_estimada,pib_per_capita
1503804,2017,57526,8504.28
1503903,2017,56325,18575.53
1504000,2017,28138,16120.34
1504059,2017,29260,10014.08
1504109,2017,8316,9056.76
1504208,2017,271594,31662.53
1504307,2017,28679,7639.95
1504406,2017,27569,8030.83
1504422,2017,127858,13985.21
1504455,2017,30726,18902.33
1504505,2017,26897,6312.82
1504604,2017,30277,10124.38
1504703,2017,79825,11181.13
1504752,2017,15646,9920.04
1504802,2017,56466,12223.52
1504901,2017,39231,6625.76
1504950,2017,20789,10371.30
1504976,2017,16221,8445.53
1505007,2017,14942,8224.53
1505031,2017,25071,24269.39
1505064,2017,73802,11381.07
1505106,2017,50727,12312.12
1505205,2017,31619,13655.24
1505304,2017,71078,23934.13
1505403,2017,17356,10825.25
1505437,2017,31921,16933.93
1505486,2017,46383,12517.00
1505494,2017,7386,8940.16
1505502,2017,110026,26815.86
1505536,2017,202356,91123.18
1505551,2017,5341,13927.54
1505601,2017,7860,6732.19
1505635,2017,12632,15895.19
1505650,2017,30109,8497.86
1505700,2017,30219,7034.35
1505809,2017,60322,10742.60
1505908,2017,39991,7400.29
1506005,2017,29067,10407.71
1506104,2017,10534,14170.21
1506112,2017,13237,6847.47
1506138,2017,82464,20624.04
1506161,2017,17705,26932.84
1506187,2017,50925,10220.60
1506195,2017,49093,7315.95
1506203,2017,39569,10741.62
1506302,2017,23096,7179.34
1506351,2017,20492,8089.84
1506401,2017,9845,6925.04
1506500,2017,68836,10441.41
1506559,2017,19316,8496.79
1506583,2017,20849,18022.69
1506609,2017,24186,12840.82
1506708,2017,70764,11356.33
1506807,2017,296302,16321.17
1506906,2017,6526,6286.55
1507003,2017,30611,11240.08
1507102,2017,17563,7471.79
1507151,2017,24859,10959.81
1507201,2017,31123,9935.71
1507300,2017,124806,11160.34
1507409,2017,15454,13209.91
1507458,2017,24188,18260.17
1507466,2017,5970,7069.85
1507474,2017,22415,7092.44
1507508,2017,13616,8592.24
1507607,2017,57364,11646.00
1507706,2017,25904,7986.91
1507755,2017,5766,18732.57
1507805,2017,11357,11179.71
1507904,2017,24682,7090.84
1507953,2017,103321,8195.75
1507961,2017,11399,6300.46
1507979,2017,18257,28888.97
1508001,2017,61709,10361.73
1508035,2017,30108,8248.01
1508050,2017,18469,17837.89
1508084,2017,38508,19669.94
1508100,2017,110516,58469.71
1508126,2017,57525,21646.90
1508159,2017,44258,11567.83
1508209,2017,52216,7149.25
1508308,2017,59735,10269.46
1508357,2017,14719,209860.52
1508407,2017,43530,27983.32
1600055,2017,5111,13858.54
1600105,2017,8757,19063.72
1600154,2017,15125,18582.74
1600204,2017,10525,13960.29
1600212,2017,5637,12913.96
1600238,2017,7270,68789.96
1600253,2017,5172,12713.07
1600279,2017,47554,17889.41
1600303,2017,474706,21057.29
1600402,2017,20387,12003.97
1600501,2017,25514,15463.31
1600535,2017,20611,16108.34
1600550,2017,4779,13170.54
1600600,2017,115471,16541.69
1600709,2017,16112,12537.86
1600808,2017,14991,12304.25
1700251,2017,2571,21967.72
1700301,2017,6460,19665.33
1700350,2017,5527,21010.67
1700400,2017,7273,20813.42
1700707,2017,8516,38947.51
1701002,2017,9749,12810.95
1701051,2017,3423,10365.18
1701101,2017,4726,19350.83
1701309,2017,5865,10783.12
1701903,2017,7003,19011.57
1702000,2017,8692,21455.13
1702109,2017,175960,23531.08
1702158,2017,5645,11460.76
1702208,2017,35216,11096.63
1702307,2017,6756,14720.84
1702406,2017,10727,14885.99
1702554,2017,18089,13046.49
1702703,2017,3735,10969.75
1702901,2017,9776,10622.14
1703008,2017,10752,9563.71
1703057,2017,3500,19622.00
1703073,2017,4544,10190.58
1703107,2017,5643,14889.24
1703206,2017,4518,17183.71
1703305,2017,4700,13450.43
1703602,2017,2199,17503.87
1703701,2017,5499,28086.74
1703800,2017,11135,8510.28
1703826,2017,2276,11381.37
1703842,2017,9795,29666.67
1703867,2017,4296,80332.40
1703883,2017,2555,14000.39
1703891,2017,4055,9226.88
1703909,2017,5265,25200.57
1704105,2017,2866,11517.45
1704600,2017,1407,18492.54
1705102,2017,3364,19706.90
1705508,2017,34839,19754.07
1705557,2017,4874,13554.58
1705607,2017,4179,11898.54
1706001,2017,5529,17331.16
1706100,2017,7374,14393.68
1706258,2017,1708,24054.45
1706506,2017,5988,22669.67
1707009,2017,21738,14075.40
1707108,2017,6868,17509.90
1707207,2017,7286,14052.15
1707306,2017,4727,25421.83
1707405,2017,10793,7935.42
1707553,2017,3879,15297.50
1707652,2017,5352,29382.66
1707702,2017,8893,11038.01
1708205,2017,18684,21202.79
1708254,2017,2584,58440.79
1708304,2017,5153,15377.84
1709005,2017,12973,11563.56
1709302,2017,25642,23522.39
1709500,2017,85523,26149.87
1709807,2017,1955,18757.03
1710508,2017,7456,13191.79
1710706,2017,5980,9940.80
1710904,2017,3772,18580.86
1711100,2017,2465,17545.64
1711506,2017,3821,15287.62
1711803,2017,2229,15986.99
1711902,2017,12808,41188.09
1711951,2017,4191,9214.27
1712009,2017,3092,20766.17
1712157,2017,1875,12735.47
1712405,2017,3787,9031.42
1712454,2017,3038,11261.36
1712504,2017,5054,23812.62
1712702,2017,2614,48304.13
1712801,2017,3409,9745.97
1713205,2017,19055,27634.16
1713304,2017,13426,16962.91
1713601,2017,7770,20525.61
1713700,2017,2264,16154.15
1713809,2017,6535,9880.49
1713957,2017,3507,12289.71
1714203,2017,9312,12555.52
1714302,2017,4060,11086.95
1714880,2017,11715,24134.36
1715002,2017,4203,11749.70
1715101,2017,4267,10893.60
1715150,2017,2353,11497.66
1715259,2017,2697,10727.85
1715507,2017,1110,17707.21
1715705,2017,5859,13992.83
1715754,2017,7687,14852.09
1716109,2017,50360,24572.18
1716208,2017,10562,20284.23
1716307,2017,4853,15487.53
1716505,2017,13288,50600.47
1716604,2017,11591,46642.39
1716653,2017,5453,13843.02
1716703,2017,8409,17275.18
1717008,2017,4520,10831.42
1717206,2017,3044,14931.34
1717503,2017,7536,18652.60
1717800,2017,4645,9742.73
1717909,2017,7949,10007.17
1718006,2017,3102,9357.51
1718204,2017,52828,35050.33
1718303,2017,8365,8220.20
1718402,2017,3733,13773.37
1718451,2017,2650,19113.58
